№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
1998	157	ул.Попова-3б	3б	06277660	2001	****	****	0	****	****	****	****	****	****	****	****	256
1999	161	ул.Попова-1б	1б	06277658	2001	****	****	0	****	****	****	****	****	****	****	****	256
2000	162	ул.Попова-1а	1а	06277655	2001	****	****	0	****	****	****	****	****	****	****	****	256
2001	204	ул.Инициативная-35	35	06277622	2002	****	****	0	****	****	****	****	****	****	****	****	256
2002	205	ул.Инициативная-33	33	06283335	2002	****	****	0	****	****	****	****	****	****	****	****	256
2003	1	ул. Инициативная	31	5378190	2002	****	****	0	****	****	****	****	****	****	****	****	256
2004	2	ул. Аллейная	7А	05342846	2002	****	****	0	****	****	****	****	****	****	****	****	256
2005	202	ул.Инициативная-37	37	06283311	2003	****	****	0	****	****	****	****	****	****	****	****	256
2006	206	ул.Попова-1	1	06283349	2003	****	****	0	****	****	****	****	****	****	****	****	256
2007	3	ул. Аллейная	7А	05342704	2003	****	****	0	****	****	****	****	****	****	****	****	256
2008	790	ул.Инициативная-81	81	06242721	2001	10.01 03:12	00011007	11007	****	****	****	****	****	****	****	****	262
2009	916	ул.Инициативная-83	83	06232518	2001	10.01 03:09	00002703	2703	****	****	****	****	****	****	****	****	262
2010	918	ул.Инициативная-85	85	06225277	2001	10.01 03:14	00011670	11670	****	****	****	****	****	****	****	****	262
2011	920	ул.Инициативная-83а	83а	06232640	2001	10.01 03:11	00007531	7531	****	****	****	****	****	****	****	****	262
2012	192	ул.Инициативная-88	88	06277568	2001	10.01 02:21	00008338	8338	****	****	****	****	****	****	****	****	262
2013	113	ул.Инициативная-87	87	06277278	2001	10.01 03:14	00007297	7297	****	****	****	****	****	****	****	****	262
2014	919	ул.Спартака-2	2	06225274	2002	09.01 13:30	00011522	11522	****	****	****	****	****	****	****	****	262
2015	917	ул.Спартака-4	4	06232484	2002	09.01 13:36	00007554	7554	****	****	****	****	****	****	****	****	262
2016	185	ул.Инициативная-78	78	04410010	2002	****	****	0	****	****	****	****	****	****	****	****	262
2017	992	ул.Инициативная-79	79	06251036	2002	09.01 23:16	00043630	43630	****	****	****	****	****	****	****	****	262
2018	784	Инициативная	84	66277687	2002	09.01 22:58	00002514	2514	****	****	****	****	****	****	****	****	262
2019	135	ул.Спартака-10	10	06283198	2003	09.01 21:14	00010438	10438	****	****	****	****	****	****	****	****	262
2020	924	ул.Инициативная-89	89	06232654	2003	09.01 21:18	00007823	7823	****	****	****	****	****	****	****	****	262
2021	134	ул.Инициативная-87а	87а	06283172	2003	09.01 21:16	00007565	7565	****	****	****	****	****	****	****	****	262
2022	112	ул.Инициативная-85а	85а	06277818	2003	09.01 21:11	00007874	7874	****	****	****	****	****	****	****	****	262
2023	922	ул.Инициативная-81а	81а	06232607	2003	09.01 19:33	00008962	8962	****	****	****	****	****	****	****	****	262
2024	921	ул.Спартака-8	8	06232675	2003	09.01 21:11	00014893	14893	****	****	****	****	****	****	****	****	262
2025	141	ул.Спартака-12	12	06283342	2003	09.01 21:10	00002683	2683	****	****	****	****	****	****	****	****	262
2026	139	ул.Инициативная-77	77	06283320	2005	10.01 03:32	00002342	2342	****	****	****	****	****	****	****	****	262
2027	923	ул.Спартака-6	6	06232644	2005	10.01 03:27	00010304	10304	****	****	****	****	****	****	****	****	262
2028	199	ул.Инициативная-80	80	06283285	2005	10.01 03:16	00008268	8268	****	****	****	****	****	****	****	****	262
2029	188	ул.Инициативная-86	86	06283350	2005	10.01 03:32	00003793	3793	****	****	****	****	****	****	****	****	262
2030	187	ул.Инициативная-82	82	06283209	2005	10.01 03:36	00010226	10226	****	****	****	****	****	****	****	****	262
2031	529	ул.Халтурина-13	13	06209412	2001	10.01 23:07	00002479	2479	****	****	****	****	****	****	****	****	263
2032	527	ул.Халтурина-15	15	06209480	2001	10.01 23:13	00002906	2906	****	****	****	****	****	****	****	****	263
2033	540	ул.Спартака-9	9	06209439	2001	10.01 23:08	00006756	6756	****	****	****	****	****	****	****	****	263
2034	7	Халтурина 8 минипекарня		10159541	2001	10.01 23:08	00006915	6915	****	****	****	****	****	****	****	****	263
2035	555	ул.Спартака-13	13	15647691	2002	10.01 22:46	00001345	1345	****	****	****	****	****	****	****	****	263
2036	163	ул.Спартака-24	24	06283369	2001	11.01 02:03	00001326	1326	****	****	****	****	****	****	****	****	264
2037	51	Халтурина,17а	17а	06294865	2001	11.01 01:55	00003655	3655	****	****	****	****	****	****	****	****	264
2038	351	Халтурина,17а	17а	06277653	2001	11.01 02:04	00003985	3985	****	****	****	****	****	****	****	****	264
2039	115	Инициативная,93а	93а	06243083	2001	11.01 01:57	00006940	6940	****	****	****	****	****	****	****	****	264
2040	161	ул.Спартака-30а	30а	06277801	2001	11.01 01:54	00010446	10446	****	****	****	****	****	****	****	****	264
2041	189	ул.Инициативная-97а	97а	06277548	2001	11.01 01:53	00011381	11381	****	****	****	****	****	****	****	****	264
2042	883	ул.Инициативная-93	93	06225650	2001	11.01 01:54	00006209	6209	****	****	****	****	****	****	****	****	264
2043	993	ул.Спартака-18а	18а	06259471	2001	11.01 02:02	00033240	33240	****	****	****	****	****	****	****	****	264
2044	407	ул.Инициативная-106	106	06209164	2001	11.01 02:01	00009516	9516	****	****	****	****	****	****	****	****	264
2045	890	ул.Инициативная-95	95	06221468	2001	11.01 01:58	00007586	7586	****	****	****	****	****	****	****	****	264
2046	885	ул.Спартака-20	20	06225685	2001	11.01 02:06	00009204	9204	****	****	****	****	****	****	****	****	264
2047	169	ул.Спартака-26	26	06277150	2001	11.01 01:52	00001938	1938	****	****	****	****	****	****	****	****	264
2048	34	ул.Инициативная-104	104	04452222	2002	11.01 02:42	00038877	38877	****	****	****	****	****	****	****	****	264
2049	198	ул.Инициативная-95а	95а	06283295	2002	11.01 02:39	00006615	6615	****	****	****	****	****	****	****	****	264
2050	115	ул.Инициативная-91	91	06277178	2002	11.01 02:36	00004910	4910	****	****	****	****	****	****	****	****	264
2051	162	ул.Спартака-24а	24а	06283305	2002	11.01 02:47	00001819	1819	****	****	****	****	****	****	****	****	264
2052	411	ул.Инициативная-108	108	06209357	2002	11.01 02:45	00001876	1876	****	****	****	****	****	****	****	****	264
2053	232	ул.Инициативная-97	97	03372119	2002	11.01 02:41	00008530	8530	****	****	****	****	****	****	****	****	264
2054	934	ул.Спартака-18	18	06225668	2002	11.01 02:44	00003643	3643	****	****	****	****	****	****	****	****	264
2055	159	ул.Спартака-30	30	06283275	2003	****	****	0	****	****	****	****	****	****	****	****	264
2056	193	ул.Спартака-22	22	06283173	2003	11.01 03:24	00001158	1158	****	****	****	****	****	****	****	****	264
2057	378	ул.Инициативная-94	94	06209364	2003	11.01 02:10	00002381	2381	****	****	****	****	****	****	****	****	264
2058	413	ул.Инициативная-98а	98а	06209315	2003	11.01 03:25	00006000	6000	****	****	****	****	****	****	****	****	264
2059	340	Инициативная,93а	93а	06277879	2003	11.01 03:21	00003697	3697	****	****	****	****	****	****	****	****	264
2060	410	ул.Инициативная-102	102	06209255	2003	11.01 03:23	00006233	6233	****	****	****	****	****	****	****	****	264
2061	125	Халтурина,17а	17а	06263477	2003	11.01 03:26	00006129	6129	****	****	****	****	****	****	****	****	264
2062	414	ул.Инициативная-96	96	06209317	2003	11.01 03:19	00003458	3458	****	****	****	****	****	****	****	****	264
2063	379	ул.Инициативная-100	100	06209453	2003	11.01 03:15	00004152	4152	****	****	****	****	****	****	****	****	264
2064	415	ул.Инициативная-98	98	06209297	2003	11.01 03:23	00011572	11572	****	****	****	****	****	****	****	****	264
2065	352	Инициативная,93а	93а	06277668	2003	11.01 03:23	00004553	4553	****	****	****	****	****	****	****	****	264
2066	195	ул.Инициативная-99	99	06283336	2003	11.01 03:21	00008853	8853	****	****	****	****	****	****	****	****	264
2067	888	Спартака	28	06283029	2003	****	****	0	****	****	****	****	****	****	****	****	264
2068	799	ул.Халтурина-23	23	06242824	2001	11.01 03:19	00015082	15082	****	****	****	****	****	****	****	****	268
2069	114	ул.Халтурина-21	21	06277159	2001	****	****	0	****	****	****	****	****	****	****	****	268
2070	196	ул.Халтурина-23а	23а	06283341	2001	11.01 03:19	00006850	6850	****	****	****	****	****	****	****	****	268
2071	889	ул.Спартака-21	21	06221552	2001	****	****	0	****	****	****	****	****	****	****	****	268
2072	142	ул.Спартака-23	23	06283300	2001	****	****	0	****	****	****	****	****	****	****	****	268
2073	886	ул.Спартака-15	15	06221471	2001	11.01 03:22	00002574	2574	****	****	****	****	****	****	****	****	268
2074	138	ул.Халтурина-23	23	06283211	2001	11.01 03:22	00014790	14790	****	****	****	****	****	****	****	****	268
2075	28	ул.Халтурина-21б	21б	03351838	2001	****	****	0	****	****	****	****	****	****	****	****	268
2076	560	ул.Спартака	21	07022506	2001	11.01 03:14	00007318	7318	****	****	****	****	****	****	****	****	268
2077	15	ул.Инициативная	101а	21974301	2001	11.01 03:17	00003498	3498	****	****	****	****	****	****	****	****	268
2078	190	ул.Спартака-21	21	06277541	2002	11.01 03:17	00009307	9307	****	****	****	****	****	****	****	****	268
2079	884	ул.Спартака-17	17	06221482	2003	11.01 03:20	00010252	10252	****	****	****	****	****	****	****	****	268
2080	693	ул.Халтурина-17	17	07952270	2003	11.01 03:17	00009615	9615	****	****	****	****	****	****	****	****	268
2081	555	ул.Спартака	19	03350108	2003	11.01 03:17	00005645	5645	****	****	****	****	****	****	****	****	268
2082	343	ул.Таежная,10б	10б	06244842	2001	****	****	0	****	****	****	****	****	****	****	****	269
2083	684	ул.Таежная,15	15	07952467	2001	****	****	0	****	****	****	****	****	****	****	****	269
2084	762	Красноярская общий ТП	18	07952473	2001	****	****	0	****	****	****	****	****	****	****	****	269
2085	887	ул.Стройгородок-14	14	06225675	2003	****	****	0	****	****	****	****	****	****	****	****	269
2086	891	ул.Таежная,10а	10а	06221512	2003	****	****	0	****	****	****	****	****	****	****	****	269
2087	925	Школьная Школа №1	1А	06232652	2002	11.01 03:37	00006735	6735	****	****	****	****	****	****	****	****	27
2088	79	Карбышева	7	03372583	2002	01.01 12:44	00007082	7082	****	****	****	****	****	****	****	****	27
2089	22	Карбышева	11А	07020032	2002	11.01 02:06	00008991	8991	****	****	****	****	****	****	****	****	27
2090	39	Карбышева	9	04415911	2002	11.01 02:55	00039354	39354	****	****	****	****	****	****	****	****	27
2091	842	Школьная школа №1 столовая	1А	06242952	2001	11.01 04:56	00009146	9146	****	****	****	****	****	****	****	****	27
2092	33	Школьная	1	04415905	2001	11.01 04:57	00043115	43115	****	****	****	****	****	****	****	****	27
2093	41	Школьная	3	04410171	2003	11.01 04:21	00044318	44318	****	****	****	****	****	****	****	****	27
2094	12	Фурманова	8	07969172	2003	11.01 03:56	00032835	32835	****	****	****	****	****	****	****	****	27
2095	10	Карбышева	11	03370928	2003	11.01 03:51	00035908	35908	****	****	****	****	****	****	****	****	27
2096	37	Фурманова	10	04415965	2003	10.01 23:47	00041452	41452	****	****	****	****	****	****	****	****	27
2097	203	ул.Инициативная-39	39	06277631	2002	11.01 03:17	00003704	3704	****	****	****	****	****	****	****	****	270
2098	197	ул.Инициативная-43	43	06283313	2003	11.01 03:37	00005925	5925	****	****	****	****	****	****	****	****	270
2099	201	ул.Инициативная-45	45	06277547	2003	11.01 03:34	00006874	6874	****	****	****	****	****	****	****	****	270
2100	32	ул.Инициативная-41	41	03372723	2001	11.01 03:23	00009550	9550	****	****	****	****	****	****	****	****	270
2101	820	Общий на ТП		07952411	2001	11.01 03:23	00008777	8777	****	****	****	****	****	****	****	****	270
2102	963	ул.Инициативная-40	40	07021428	2001	11.01 03:27	00016544	16544	****	****	****	****	****	****	****	****	270
2103	258	ул.Шорникова-3	3	06282789	2002	11.01 03:40	00007758	7758	****	****	****	****	****	****	****	****	271
2104	275	ул.Шорникова-1а	1а	06277814	2002	11.01 03:34	00008960	8960	****	****	****	****	****	****	****	****	271
2105	276	ул.Шорникова-3а	3а	06283174	2002	11.01 03:28	00006023	6023	****	****	****	****	****	****	****	****	271
2106	277	ул.Шорникова-5	5	06287808	2002	11.01 03:27	00008029	8029	****	****	****	****	****	****	****	****	271
2107	285	ул.Шорникова-1	1	06283293	2002	11.01 03:28	00007514	7514	****	****	****	****	****	****	****	****	271
2108	603	ул.50 лет Октября-12	12	06209235	2002	11.01 03:14	00004815	4815	****	****	****	****	****	****	****	****	273
2109	606	ул.Томская-5а	5а	06209382	2002	11.01 03:18	00007338	7338	****	****	****	****	****	****	****	****	273
2110	33	ул.50 лет Октября-14	14	07003064	2002	11.01 03:11	00002097	2097	****	****	****	****	****	****	****	****	273
2111	343	ул.Коломейцева-8	8	06209197	2001	07.01 03:03	00004626	4626	****	****	****	****	****	****	****	****	274
2112	341	ул.Красная-5	5	06209220	2002	07.01 03:07	00003629	3629	****	****	****	****	****	****	****	****	274
2113	648	Красная	3	06209338	2002	07.01 03:11	00003839	3839	****	****	****	****	****	****	****	****	274
2114	346	ул.Красная-3	3	06209166	2002	07.01 03:06	00004710	4710	****	****	****	****	****	****	****	****	274
2115	351	Красная,5	5	06209260	2003	07.01 03:20	00012345	12345	****	****	****	****	****	****	****	****	274
2116	151	ул.Черняховского	3а	062590065	2001	11.01 02:51	00029982	29982	****	****	****	****	****	****	****	****	275
2117	811	ул.Черняховского-5	5	06239500	2002	11.01 02:55	00009492	9492	****	****	****	****	****	****	****	****	275
2118	817	ул.Черняховского-1а	1а	06239491	2002	11.01 02:57	00005458	5458	****	****	****	****	****	****	****	****	275
2119	818	ул.Дарвина-8	8	06239427	2002	11.01 02:44	00004914	4914	****	****	****	****	****	****	****	****	275
